URI,Cnt
/_search,12
"/hoidongnhandan/1231/29459/39471/so-do-site/AttachFiles/AttachFiles/NQ+34+khu+neo+dau+tau+thuyen+tranh+tru+bao+ket+hop+ben+ca+cua+Ha+Lan,+h.Giao+Thuy100620201159.pdf",1
/index.php,10
/wp-content/plugins/ultimate-member/readme.txt,1
/portal/Photos/2021-10-20/d3d7e75a6f3dad6dTBN2.jpg,1
/Admin/Uploadify,1
/userfiles/file/TaiLieuTXCT+Ky+hop+6/AttachFiles/AttachFiles/ban-van-hoa.aspx,1
/portal/_themes/Portal_red/img/art-tools.png,13
/portal/Pages/2023-5-26/Giam-sat-chuyen-de-cua-Ban-Kinh-te--Ngan-sach-ve-Huj8ell.aspx,1
/portal/Pages/2021-10-13/Phong-Cong-tac-Quoc-hoi6eozu4.aspx,1
/portal/Pages/2021-10-12/Danh-sach-dai-bieu-HDND-tinh-Nam-Dinh-khoa-XIX-nhia8vg6m.aspx,2
/_forms/error.html,6
/api/v1/database/1,5
/portal/Pages/2022-10-28/Giam-sat-viec-thuc-hien-cac-chuong-trinh-tin-dung-73wamu.aspx,1
/wp-content/uploads/style.php,12
/wp-admin/style.php,12
/index.php/management/set_timezone,1
/audio/27754.mp3,1
/portal/Pages/2022-6-25/Doan-giam-sat-cua-Thuong-truc-HDND-tinh-hop-thong-9mu35z.aspx,2
/portal/Pages/2022-12-16/Giam-sat-viec-huy-dong-quan-ly-va-su-dung-cac-nguogal62a.aspx,1
/portal/Pages/2023-12-10/feqb9q.aspx,1
/test.cgi,1
/portal/Pages/2023-11-14/Dai-bieu-HDND-tinh-tiep-tuc-chuong-trinh-tiep-xuc-ncs8qk.aspx,1
/_layouts/tandan.portal/weather/locations.js,31
/index.html,2
/hoidongnhandan/1231/29459/42094/Tin-tuc---Su-kien/AttachFiles/NQ+12+dieu+chinh+bien+che+QLHC+nha+nuoc100620201153.pdf,1
/wp-admin/admin-ajax.php,2
"/AttachFiles/NQ+72+quyet+dinh+chu+truong+dau+tu+d.an+xay+dung+KDT+duong+Nguyen+Cong+Tru,+phuong+Loc+Vuong,+TP+Nam+Dinh151220200303.pdf",1
/_forms/td-login.aspx,1
/fileserver/test.txt,6
/_layouts/tandan.portal/images/tinnhiemcong.png,24
/tin-tuc-detail.aspx,2
/portal/Pages/2023-8-27/Hoi-nghi-nang-cao-chat-luong-hoat-dong-HDND-cac-ca5amvni.aspx,1
/wp-json/wp/v2/users/,1
/api/v1/database/9,5
/webadmin/script,2
/portal/_themes/Portal_red/img/ic-search.png,24
/audio/27546.mp3,1
/admin.php,1
/portal/Pages/2024-1-25/Dong-chi-Pho-Bi-thu-Thuong-truc-Tinh-uy-tham-chuc-m4dc5n.aspx,1
/portal/Pages/2023-1-12/Tham-tang-qua-cho-gia-dinh-cac-em-nho-co-hoan-canh7p1aq9.aspx,1
/images/class.api.php,1
/AttachFiles/7-+NQ+75+lệ+phí+cư+trú120620200950.doc,2
/webadmin/auth/verification.php,5
/portal/_res/fonts/Roboto/roboto-v18-latin_vietnamese_latin-ext-500.woff2,55
/userfiles/media/B2.jpg,1
/_forms/default.aspx,56
/geoserver/ows,1
/_login/default.aspx,52
/portal/Photos/2024-03/_w/59a4b336ca88b8dda1_20240307123759_jpg.jpg,1
/faces/javax.faces.resource./WEB-INF/web.xml.jsf,1
/Install/InstallWizard.aspx,1
/_layouts/tandan.portal/weather/img/48/02n.png,1
/portal/Pages/2023-5-12/Dai-hoi-Cong-doan-Van-phong-Doan-DBQH-va-HDND-tinhsm6bs9.aspx,1
/Style+Library/en-US/Themable/Core+Styles/controls.css,17
/portal/Photos/2023-05/_t/80b42ddfe5d2c0d11e2130191db4f8516ca_jpg.jpg,12
/mbilling/lib/icepay/icepay.php,1
/portal/Pages/2023-12-15/Ky-hop-thu-bay-HDND-thanh-pho-Nam-Dinh-khoa-XVIIfg7fsz.aspx,3
"/AttachFiles/05.+NQ+bai+bo+1+phan+NQ+53+2017+quy+dinh+muc+thu,+che+do+thu,+nop+va+quan+ly+le+phi+ho+tich200720210152.pdf",2
/userfiles/file/TKBC1.jpg,1
/AttachFiles/29.+BC+Ctác+của+ngành+TAND100620201139.pdf,1
/hoidongnhandan/1231/29459/39413/Ban-Kinh-te---Ngan-sach-HDND-tinh/nghi-quyet-detail.aspx,1
/wp-content/plugins/abstract-submission/dompdf-0.5.1/dompdf.php,1
/portal/Pages/2023-9-7/Hoi-nghi-toan-quoc-trien-khai-luat-nghi-quyet-cua-xjk30n.aspx,1
/audio/27721.mp3,1
/ajax-api/2.0/mlflow/registered-models/create,2
/AttachFiles/8.+Dieu+chinh+lien+quan+den+Cum+cong+nghiep051220180824.pdf,1
/AttachFiles/Báo+cáo+thẩm+tra+(chính+thức).doc130320180939.docx,2
/webadm/,3
/portal/portal/pages/van-ban/default.aspx,1
/portal/Pages/2021-10-13/8a7z6t.aspx,1
/audio/27195.mp3,2
/userfiles/file/TaiLieuTXCT+Ky+hop+6/href='/tai-lieu.aspx,1
/_layouts/tandan.portal/jslibs/fancybox/jquery.fancybox.pack.js,36
/portal/pages/Lich-lam-viec-tuan.aspx,9
/hoidongnhandan/1231/29459/42080/hoi-dong-nhan-dan-huyen-nam-truc/tai-lieu-detail.aspx,1
/portal/_res/bootstrap/fonts/glyphicons-halflings-regular.woff,1
/cgi-bin/rpc,2
/portal/Pages/2023-10-20/Thong-bao-ket-luan-cua-Ban-Thuong-vu-Tinh-uy-ve-Phj46eoh.aspx,1
/hoidongnhandan/1231/29459/39414/Ban-Van-hoa---Xa-hoi-HDND-tinh/AttachFiles/18-NQ-HDND_20160802041810756750120620200830.PDF,1
/_layouts/1033/init.js,41
/images/news/250720211043TD+DBQH.jpg,2
/wp-includes/style.php,12
/Manage/Uploadify,1
/portal/Pages/2021-10-11/Ban-Phap-che-HDND-tinh-Nam-Dinh--Khoa-XIX-nhiem-kyvjg4kn.aspx,1
/redir.php,1
/api/fileup.ashx,1
/portal/Pages/2024-2-6/Van-hien-Nam-Dinh--Dong-rieng-giua-nguon-chung-zl5det.aspx,1
/general/index/UploadFile.php,3
"/view-resol-Nghi-quyet-so-69-NQ-HDND,-cua-HDND-tinh-ve-viec-quyet-dinh-chu-truong-dau-tu-Du-an-cai-tao,-nang-cap-tuyen-duong-Thai-Hai,-huyen-Nam-Truc-238.html",1
/portal/Pages/2023-1-19/Hoat-dong-thanh-nien-huong-toi-tet-Quy-Mao-20239bi8q1.aspx,1
/userfiles/file/TaiLieuTXCT+Ky+hop+6/tai-lieu-detail.aspx,1
/portal/ImageAds/8d03f4fa9d04470dxanh+com+999.jpg,12
"/portal/VanBan/2021-11/2d283ae22207240d26.+Sap+xep,+sap+nhap+thon+(xom),+to+dan+pho+tren+dia+ban+tinh,+giai+doan+2021_2022.pdf",1
/portal/_res/fonts/Roboto/roboto-v18-latin_vietnamese_latin-ext-500.woff,1
/wp-content/plugins/media-library-assistant/readme.txt,1
/portal/Pages/2023-7-11/Ban-Van-hoa--Xa-hoi-HDND-tinh-tham-tra-truoc-ky-hor8ud8t.aspx,1
/portal/Pages/2024-2-25/Thong-bao-Ket-luan-cua-Ban-Thuong-vu-Tinh-uy-ve-coiotbih.aspx,1
/AttachFiles/NQ+09+thong+qua+ke+hoach+to+chuc+cac+ky+hop+thuong+le+nam+2021+cua+HDND+tinh290620210932.pdf,1
/seeyon/test123456.jsp,2
/portal/Pages/2024-2-5/6iet9g.aspx,1
/myaccount/javax.faces.resource./WEB-INF/web.xml.jsf,1
/userfiles/2020/bb.jpg,1
/wp-content/plugins/paid-memberships-pro/js/updates.js,1
/v1/folder,2
/portal/Pages/2021/Dong-chi-Le-Quoc-Chinh-Pho-Bi-thu-Thuong-truc-Tinh-307014.aspx,3
/portal/LinkImage/61ec8cf84cdf88fdQLVBDH1.jpg,24
/.well-known/traffic-advice,6
/inc/jquery/uploadify/uploadify.php,1
/portal/Pages/Thu-vien-so.aspx,7
/audio/28071.mp3,1
/hoidongnhandan/1231/29459/39471/so-do-site/AttachFiles/dai-bieu.aspx,1
/portal/Pages/2023-11-17/Giam-sat-tham-tra-truoc-ky-hop-thuong-le-cuoi-nam-bz2dmp.aspx,1
/webadmin/clientlogin/,1
/hoidongnhandan/1231/29459/42083/Hoi-dong-nhan-dan-huyen-Hai-Hau/AttachFiles/nghi-quyet-detail.aspx,1
/status,1
/portal/pages/default.aspx,8
/hoidongnhandan/1231/29459/39416/Van-phong-HDND-tinh/video.aspx,1
/_images/xYmJse,1
/ceshi.asp,1
/portal/_res/img/bg-shadow.png,24
/lui/,1
/portal/Pages/2024-3-27/Hoi-nghi-toan-quoc-tong-ket-cong-tac-HDND-cac-tinht9cojv.aspx,3
/portal/Pages/2024-1-22/Dong-long-quyet-tam-xay-dung-dat-nuoc-ngay-cang-cu21x7al.aspx,1
/portal/Pages/2023-12-25/10-su-kien-tieu-bieu-tinh-Nam-Dinh-nam-2023-qua-baht1kkq.aspx,1
/wp-content/plugins/wp-planet/readme.txt,1
/_layouts/tandan.portal/weather/img/128/03n.png,3
/hoidongnhandan/1231/29459/40927/Co-cau-to-chuc/nghi-quyet-detail.aspx,1
/.well-known/acme-challenge/class.api.php,1
/solr/admin/cores,3
/module/jmsblog/index.php,1
"/hoidongnhandan/1231/29459/40932/van-ban-tra-loi-y-kien---kien-nghi-cu-tri/AttachFiles/AttachFiles/1.+NQ+phe+duyet+dieu+chinh+bo+sung+tong+so+luong+nguoi+lam+viec+trong+cac+d.vi+SNCL,+chi+tieu+g.vien+mam+non+hop+dong+nam+2020140720200855.pdf",1
/portal/_res/fonts/Roboto/roboto-v18-latin_vietnamese_latin-ext-regular.woff,1
/wp-seo.php,1
/portal/Photos/2021-10-17/9de5537d8d82552d20210412_084110.jpg,1
/api/v1/database/4,5
/portal/Pages/2022-6-14/Tang-cuong-cong-tac-quan-ly-Nha-nuoc-ve-kham-benh-pk8mc2.aspx,1
/portal/Pages/2021-10-11/Ban-Kinh-te--Ngan-sach-HDND-tinh-Nam-Dinh--Khoa-XImk5hlt.aspx,1
/portal/Pages/2023-6-20/Ky-hop-thu-5-Quoc-hoi-khoa-XV-De-xuat-dieu-chinh-ch34vq9.aspx,2
/portal/Pages/2022-11-16/g6zxcp.aspx,2
/files.ashx,1
"/AttachFiles/10.+Bao+cao+ket+qua+GSCD+cua+Thuong+truc+HDND+tinh+ve+su+dung+kinh+phi+tu+tien+su+dung+dat,+tien+thue+dat+co+cong+tac+do+dac,+d.ky+dat+dai031220200843.pdf",1
/apps/graphapi/vendor/microsoft/microsoft-graph/tests/GetPhpInfo.php,1
/_layouts/tandan.portal/weather/img/128/10n.png,3
/SiteFolders/doandaibieuquochoi/3398/AttachFiles/AttachFiles/tai-lieu.aspx,1
/tool/log/c.php,1
"/hoidongnhandan/1231/29459/39471/so-do-site/AttachFiles/AttachFiles/NQ+54+phu+cap+Thon+doi+truong,+muc+tro+cap+ngay+cong+lao+dong+doi+voi+dan+quan+khi+thuc+hien+nhiem+vu151220200251.pdf",1
/wp-content/themes/twentyseventeen/page/index.php,10
/home.html,2
/portal/home/advance-search,13
/Electron/download/windows/windows/win.ini,1
/fileupload.asp,1
/portal/Pages/van-ban/v.aspx,14
/.well-known/pki-validation/class.api.php,1
/portal/_pageLayouts/two-cols-left/layout.css,34
/portal/pages/Tin-tuc-su-kien.aspx,4
/audio/27479.mp3,1
/portal/Photos/2022-06-23/f9d9aad01e897dcd2.jpg,1
/portal/Pages/2021-10-19/Giam-sat-viec-thuc-hien-chinh-sach-phap-luat-ve-trptz6ln.aspx,2
/portal/_res/js/custom.js,38
/downloader.php,1
/api/files.ashx,1
/hoidongnhandan/1231/29459/40963/Chuong-trinh-hanh-dong-DB-HDND/AttachFiles/href='/tai-lieu.aspx,1
/cgi-bin/test-cgi,1
/portal/Pages/2023-5-20/Dien-van-cua-dong-chi-Pham-Gia-Tuc-Uy-vien-BCH-Truvs5wgw.aspx,4
/ajax/api/user/save,1
/audio/28066.mp3,1
/enrollment/index.php,1
/portal/Pages/2023-11-24/Ban-Thuong-vu-Tinh-uy-cho-y-kien-ve-ket-qua-thuc-hybcw37.aspx,1
/wp-content/plugins/post-pdf-export/dompdf/dompdf.php,1
/portal/_themes/Portal_red/theme.css,35
/portal/Photos/2024-03/_w/fec4f4daf05b3dad1_jpg.jpg,12
/portal/_res/img/new.gif,11
/api/Upfile,1
/nghi-quyet-view.aspx,32
/wp-admin/tools.php,2
/ScriptResource.axd,101
/wp-admin/admin.php,1
/portal/Pages/2023-10-25/Quoc-hoi-cong-bo-ket-qua-lay-phieu-tin-nhiem-44-chomma3c.aspx,1
/hoidongnhandan/1231/29459/39471/so-do-site/tai-lieu.aspx,1
/portal/Pages/2022-1-25/unywva.aspx,1
/portal/VanBan/2021-11/28456a60436d222d34.2.+BC+ket+qua+giam+sat+chuyen+de+viec+t.hien+CSPL+ve+tro+giup+xã+hoi+tu+nam+2019+den+nay+(cua+Ban+VHXH).pdf,1
/wb.php,1
/_layouts/tandan.portal/weather/img/48/04d.png,9
/ajax-api/2.0/mlflow/model-versions/create,2
/hoidongnhandan/1231/29459/42085/Hoi-dong-nhan-dan-huyen-Giao-Thuy/nghi-quyet-detail.aspx,2
/hoidongnhandan/1231/29459/39407/Gioi-thieu/AttachFiles/AttachFiles/tin-tuc-van-hoa.html,1
/tools/Upfile.ashx,1
/up.ashx,1
/portal/Pages/2022-6-23/Ban-Phap-che-tham-tra-truoc-ky-hop-thu-bay-HDND-tiq64shf.aspx,2
/portal/Pages/2023-12-10/Be-mac-ky-hop-thu-muoi-lam-HDND-tinh-khoa-XIX-nhiepgj9e6.aspx,1
/portal/Pages/2023-12-15/HDND-huyen-Nam-Truc-khoa-XVIII-to-chuc-ky-hop-thu-v4wrjw.aspx,1
/portal/Banner/8e7837350f0fd6dd12345.jpg,24
/audio/27491.mp3,1
/portal/_themes/Portal_red/img/chuoi.png,14
/admin/login.php,1
/mics/services/MICSLogService,1
/login-x.php,1
/alfanew.php,10
/portal/Pages/video/w.aspx,4
/plus/ajax_common.php,1
/portal/Photos/2021-10-17/9122007a090929ddndc.jpg,1
